Individual Block Times,Index
0.0125121,406
0.0132489,407
0.0258338,408
0.0033644,409
0.0173744,410
0.0499796,411
0.0406667,412
0.0185335,413
0.0358983,414
0.0255644,415
0.0951759,416
0.022652,417
0.153682,418
0.0068509,419
0.047302,420
0.0024089,421
0.0538373,422
0.0245706,423
0.0146708,424
0.0191306,425
0.012928,426
0.0838615,427
0.0710263,428
0.0141366,429
0.0080699,430
0.0147317,431
0.0027489,432
0.0021822,433
0.0055865,434
0.014334,435
0.0047593,436
0.0159995,437
0.0376572,438
0.019986,439
0.0456717,440
0.0021933,441
0.0220977,442
0.0213432,443
0.0184112,444
0.0740231,445
0.0211645,446
0.0132003,447
0.0176147,448
0.0113348,449
0.0149333,450
0.0691746,451
0.148094,452
0.0243765,453
0.0082531,454
0.0484305,455
0.0261165,456
0.0033032,457
0.0061067,458
0.0024027,459
0.0386708,460
0.018162,461
0.0316632,462
0.0019414,463
0.0103853,464
0.0088245,465
0.0325833,466
0.0133516,467
0.0059776,468
0.049823,469
0.0389131,470
0.142819,471
0.042996,472
0.0133821,473
0.0350669,474
0.0054604,475
0.0338425,476
0.0384528,477
0.0037413,478
0.0262738,479
0.0359432,480
0.0043588,481
0.0056584,482
0.0899455,483
0.0235844,484
0.0217352,485
0.0149238,486
0.0471327,487
0.049217,488
0.0205992,489
0.0008547,490
0.0073404,491
0.0058781,492
0.0592042,493
0.0922819,494
0.0237061,495
0.0070011,496
0.0414435,497
0.0125389,498
0.0388826,499
0.0055367,500
0.0591256,501
0.0511584,502
0.0466358,503
0.0058533,504
0.0083601,505
0.0354915,506
0.0412989,507
0.0232519,508
0.0262297,509
0.0181282,510
0.0151334,511
0.0200729,512
0.0482328,513
0.0105545,514
0.0030105,515
0.0170561,516
0.0472664,517
0.048077,518
0.001471,519
0.0003998,520
0.0271437,521
0.0266305,522
0.0192315,523
0.0196372,524
0.0063007,525
0.0950413,526
0.0761443,527
0.0202442,528
0.0402105,529
0.0708131,530
0.0686134,531
0.000904,532
0.0812233,533
0.116142,534
0.131287,535
0.0020173,536
0.0153085,537
0.0353883,538
0.0194566,539
0.0415408,540
0.0071017,541
0.0078971,542
0.0105012,543
0.0026266,544
0.0077105,545
0.0546425,546
0.0080987,547
0.0287232,548
0.0114074,549
0.002335,550
0.0274045,551
0.0364699,552
0.0722067,553
0.0689854,554
0.0159874,555
0.0092021,556
0.0429318,557
0.0204407,558
0.0301242,559
0.002438,560
0.0759443,561
0.0119221,562
0.0528121,563
0.134086,564
0.0005783,565
0.0023788,566
0.004009,567
0.0295363,568
0.0270774,569
0.0123726,570
0.0014251,571
0.0148172,572
0.0032177,573
0.0133381,574
0.0078228,575
0.0137262,576
0.0069845,577
0.0408225,578
0.0492131,579
0.0031942,580
0.0317309,581
0.0049454,582
0.004589,583
0.0287675,584
0.0169224,585
0.0499962,586
0.0097494,587
0.0038354,588
0.0611686,589
0.0095209,590
0.0277092,591
0.0161201,592
0.0282163,593
0.0020628,594
0.0001908,595
0.0276223,596
0.039792,597
0.0110715,598
0.0695315,599
0.0044208,600
0.0258233,601
0.0018299,602
0.0106033,603
0.0417795,604
0.0021455,605
0.0442401,606
0.0148827,607
0.029572,608
0.010975,609
0.0645404,610
0.0392078,611
0.0249287,612
0.0029178,613
0.0227959,614
0.0027578,615
0.0335707,616
0.0133038,617
0.0126785,618
0.0190532,619
0.043857,620
0.011386,621
0.0025225,622
0.0531905,623
0.0128264,624
0.0601645,625
0.0049818,626
0.0766454,627
0.0781024,628
